column,average
deepseek_response_bert,0.8121220000000001
deepseek_response_bleu,0.016383400998670597
deepseek_response_meteor,0.22254852251608498
deepseek_response_rouge1,0.16143839554335584
deepseek_response_rouge2,0.053363581628392734
deepseek_response_rougel,0.154942742904228
deepseek_response_ter,91.5992937567004
deepseek_similarity,0.6425232183933258
gemma_response_bert,0.887368
gemma_response_bleu,0.11958347575200032
gemma_response_meteor,0.3204733652861922
gemma_response_rouge1,0.3378995435355112
gemma_response_rouge2,0.16541148498740707
gemma_response_rougel,0.30679345266286545
gemma_response_ter,1.0042886851631914
gemma_similarity,0.7096561086177826
gpt_response_bert,0.9097240000000001
gpt_response_bleu,0.2090991481776623
gpt_response_meteor,0.49375661689925693
gpt_response_rouge1,0.45520067779855256
gpt_response_rouge2,0.2792702085816804
gpt_response_rougel,0.43913249692883605
gpt_response_ter,1.1281213280036915
gpt_similarity,0.7668464422225952
llama_response_bert,0.9055500000000001
llama_response_bleu,0.2403389050629579
llama_response_meteor,0.5544523489048525
llama_response_rouge1,0.4703780494674391
llama_response_rouge2,0.32200281297680894
llama_response_rougel,0.4550393978813311
llama_response_ter,1.4929139548106327
llama_similarity,0.7775520139932632
mistral_response_bert,0.8834559999999999
mistral_response_bleu,0.10160867461317079
mistral_response_meteor,0.39657561213986225
mistral_response_rouge1,0.3323317784606307
mistral_response_rouge2,0.1652746274089536
mistral_response_rougel,0.31334302597661295
mistral_response_ter,2.373748400186984
mistral_similarity,0.7304982614517211
